ID,SIBS,CHILDS,AGE,EDUC,PAEDUC,MAEDUC
1374,3,2,30,13,3,11
1377,2,2,33,12,12,13
1380,3,3,30,12,98,98
1382,3,1,53,12,5,7
1385,2,1,33,15,12,13
1387,3,5,51,14,98,12
1393,3,1,24,12,97,14
1397,14,2,46,12,8,8
1407,3,3,84,16,6,97
1410,4,0,19,12,12,13
1412,6,8,60,9,9,8
1415,7,4,66,8,4,4
1416,3,0,34,16,7,8
1419,2,4,46,8,6,8
1422,7,2,26,12,12,14
1425,0,2,33,12,12,8
1427,5,2,24,12,8,10
1430,3,1,25,12,10,12
1432,6,3,54,9,8,10
1436,2,0,19,12,97,12
1440,8,3,41,10,97,1
1441,4,2,30,12,8,8
1445,9,3,49,9,98,97
1446,7,1,33,6,97,98
1448,8,4,39,10,98,98
1450,7,3,28,12,6,6
1456,2,3,65,19,16,16
1461,2,5,56,7,97,15
1465,3,0,20,12,12,14
1467,4,0,23,14,11,11
