UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,BLACK,OTHER_RACE,TRAUMA1,WIDOWED,DIVORCED,SEPARATED,NEVER_MARRIED
0,69,4,0,8,1,0,0,0,0,0,0,0
0,69,3,0,12,0,0,0,0,0,0,0,0
0,69,2,0,12,0,0,0,0,0,0,0,0
0,69,4,0,17,0,0,0,0,0,0,0,0
0,69,4,0,18,1,0,0,0,0,0,0,0
0,69,0,9,7,1,0,0,0,0,0,0,0
0,69,0,0,12,0,0,0,0,0,0,0,0
0,69,2,0,12,0,0,0,0,0,0,0,0
0,69,0,0,16,1,0,0,1,0,0,0,0
0,69,0,12.33,16,1,0,0,1,0,0,0,0
0,69,2,0,9,1,0,0,1,0,0,0,0
0,69,2,0,12,1,0,0,0,1,0,0,0
1,69,1,0,12,0,1,0,0,1,0,0,0
0,69,0,0,11,0,0,0,1,1,0,0,0
1,69,0,0,12,0,1,0,1,1,0,0,0
1,69,0,0,12,0,0,0,1,1,0,0,0
0,69,0,0,13,1,0,1,1,1,0,0,0
0,69,3,0,13,0,0,0,1,1,0,0,0
0,69,0,17,13,0,0,0,0,1,0,0,0
0,69,0,0,12,0,0,0,0,0,1,0,0
0,68,3,0,10,0,0,0,0,0,0,0,0
0,68,0,0,8,1,0,0,0,0,0,0,0
0,68,3,0,12,0,0,0,0,0,0,0,0
0,68,0,9,12,0,0,0,0,0,0,0,0
0,68,0,0,13,0,0,0,0,0,0,0,0
0,68,1,0,9,0,0,0,1,0,0,0,0
0,68,4,18,12,1,0,0,1,0,0,0,0
0,68,0,0,12,0,0,0,1,0,0,0,0
0,68,0,0,12,1,0,0,1,0,0,0,0
0,68,3,0,12,0,0,0,0,0,0,0,0
0,68,2,0,9,0,0,0,0,1,0,0,0
0,68,2,0,9,0,1,0,0,1,0,0,0
0,68,2,0,12,0,0,0,0,1,0,0,0
0,68,0,0,6,0,1,0,1,1,0,0,0
1,68,4,0,12,0,0,0,1,1,0,0,0
1,68,2,0,13,0,0,0,1,1,0,0,0
0,68,3,0,13,1,0,0,1,0,1,0,0
0,68,4,0,13,0,0,0,0,0,0,0,1
0,67,3,0,7,0,0,0,0,0,0,0,0
0,67,0,0,7,0,0,0,0,0,0,0,0
0,67,0,0,16,0,0,0,0,0,0,0,0
0,67,0,0,16,0,0,0,0,0,0,0,0
0,67,3,14,16,0,0,0,0,0,0,0,0
0,67,0,0,12,0,0,0,1,0,0,0,0
0,67,0,0,14,1,0,0,1,0,0,0,0
0,67,3,2,6,1,1,0,0,1,0,0,0
0,67,2,0,11,0,0,0,0,1,0,0,0
1,67,3,0,8,1,0,0,0,0,1,0,0
0,67,0,0,4,0,0,0,1,0,1,0,0
0,66,4,1,10,1,0,0,0,0,0,0,0
0,66,3,0,12,1,0,0,0,0,0,0,0
0,66,3,0,5,1,1,0,0,0,0,0,0
0,66,0,3,13,1,0,0,0,0,0,0,0
0,66,3,0,14,0,0,0,0,0,0,0,0
0,66,3,0,15,0,0,0,0,0,0,0,0
0,66,0,0,16,1,0,0,0,0,0,0,0
0,66,3,0,16,0,0,0,0,0,0,0,0
0,66,0,0,18,1,0,0,0,0,0,0,0
0,66,0,0,12,1,0,0,1,0,0,0,0
1,66,0,9,12,0,0,0,1,0,0,0,0
0,66,0,6,7,0,0,0,1,0,0,0,0
0,66,3,0,12,1,0,0,0,0,0,0,0
0,66,2,0,12,0,0,0,0,1,0,0,0
0,66,4,12,12,0,0,0,0,1,0,0,0
0,66,0,20,20,1,1,0,1,1,0,0,0
0,66,4,0,8,1,0,0,0,0,1,0,0
0,66,2,0,12,0,1,0,0,0,1,0,0
0,66,2,0,12,0,0,0,0,0,0,0,1
0,66,3,15,16,0,0,0,0,0,0,0,1
0,65,1,0,10,0,0,0,0,0,0,0,0
0,65,3,3,13,1,0,0,0,0,0,0,0
0,65,3,0,14,1,0,0,0,0,0,0,0
0,65,0,0,12,0,0,0,0,0,0,0,0
0,65,0,0,12,0,0,0,0,0,0,0,0
0,65,3,16,12,1,0,0,0,0,0,0,0
0,65,4,0,13,0,0,0,0,0,0,0,0
0,65,4,18,14,1,0,0,0,0,0,0,0
0,65,4,0,15,1,0,0,0,0,0,0,0
0,65,0,21,16,1,0,0,0,0,0,0,0
0,65,0,0,12,1,0,0,1,0,0,0,0
1,65,3,0,13,0,0,0,0,1,0,0,0
0,65,2,7,9,0,1,0,0,1,0,0,0
1,65,0,2,8,0,0,0,1,1,0,0,0
0,65,0,0,12,0,0,0,1,1,0,0,0
1,65,1,0,12,0,0,0,1,1,0,0,0
0,65,3,4,14,1,0,0,0,0,0,0,1
0,65,2,0,11,1,1,0,1,0,0,0,1
0,64,2,0,7,1,0,0,0,0,0,0,0
0,64,2,2,8,1,0,0,0,0,0,0,0
0,64,3,0,10,1,0,0,0,0,0,0,0
0,64,3,0,12,0,0,0,0,0,0,0,0
0,64,0,0,11,1,0,0,0,0,0,0,0
0,64,0,0,12,0,0,0,0,0,0,0,0
0,64,0,13,13,0,0,0,0,0,0,0,0
0,64,4,0,16,0,0,0,0,0,0,0,0
0,64,0,15,15,0,0,0,1,0,0,0,0
0,64,0,2,12,0,0,0,0,0,0,0,0
0,64,4,15,12,1,0,0,0,0,0,0,0
0,64,3,0,15,0,0,0,0,0,1,0,0
0,64,2,0,12,0,1,0,1,0,1,0,0
0,64,3,0,8,1,0,0,0,0,0,0,1
0,63,3,0,9,0,0,0,0,0,0,0,0
0,63,3,14,12,0,1,0,0,0,0,0,0
0,63,4,21,17,1,0,0,0,0,0,0,0
0,63,0,20,2,1,0,1,0,0,0,0,0
0,63,4,0,12,1,0,0,0,0,0,0,0
0,63,0,0,16,0,0,0,0,0,0,0,0
1,63,0,16,16,0,0,0,0,0,0,0,0
0,63,0,0,19,1,0,0,0,0,0,0,0
0,63,0,0,14,0,0,0,1,0,0,0,0
0,63,0,1,14,0,0,0,1,0,0,0,0
0,63,0,16,14,0,0,0,1,0,0,0,0
0,63,1,18,9,1,0,0,0,0,0,0,0
0,63,1,0,9,0,1,0,0,1,0,0,0
0,63,0,0,12,1,0,0,1,1,0,0,0
1,63,1,0,12,0,0,0,0,0,1,0,0
0,63,4,9,13,0,0,0,0,0,1,0,0
1,63,2,9,12,0,0,0,0,0,1,0,0
1,63,2,0,4,0,0,1,0,0,0,1,0
0,63,0,0,12,1,0,0,1,0,0,0,1
0,62,2,0,6,0,1,0,0,0,0,0,0
0,62,3,10,8,1,0,0,0,0,0,0,0
0,62,2,0,9,0,0,0,0,0,0,0,0
0,62,3,0,14,1,0,0,0,0,0,0,0
0,62,3,12,7,1,0,0,0,0,0,0,0
0,62,0,0,12,0,1,0,0,0,0,0,0
0,62,2,12.33,12,0,0,0,0,0,0,0,0
0,62,0,10,18,0,0,0,0,0,0,0,0
0,62,3,0,11,0,0,0,0,1,0,0,0
0,62,4,0,9,0,1,0,0,1,0,0,0
0,62,4,0,14,0,0,0,0,1,0,0,0
0,62,3,0,14,0,0,0,1,1,0,0,0
0,62,4,18,18,0,0,0,1,1,0,0,0
0,62,0,0,12,1,0,0,0,0,1,0,0
0,62,2,14,16,0,0,0,0,0,1,0,0
0,62,3,9,12,1,0,0,0,0,0,0,1
0,62,3,15,12,0,0,0,0,0,0,0,1
0,62,2,12,18,0,0,0,1,0,0,0,1
0,61,3,3,8,0,0,0,0,0,0,0,0
0,61,1,0,12,1,1,0,0,0,0,0,0
0,61,4,19,12,1,0,0,0,0,0,0,0
0,61,4,13,16,0,0,1,0,0,0,0,0
0,61,3,0,11,0,0,0,0,0,0,0,0
0,61,3,0,12,0,0,0,0,0,0,0,0
0,61,0,8,12,0,0,0,0,0,0,0,0
0,61,0,18,20,0,0,0,0,0,0,0,0
0,61,2,8,12,0,1,0,1,0,0,0,0
0,61,3,0,16,0,0,0,1,0,0,0,0
1,61,1,0,5,0,0,0,1,0,0,1,0
1,61,0,0,4,1,0,0,1,0,0,0,1
0,60,2,11,12,1,0,0,0,0,0,0,0
0,60,4,15,12,0,0,0,0,0,0,0,0
0,60,4,18,13,1,0,0,0,0,0,0,0
0,60,4,17,14,0,1,0,0,0,0,0,0
0,60,3,21,16,0,0,0,0,0,0,0,0
0,60,4,15,13,1,0,0,0,0,0,0,0
0,60,3,21,13,1,1,0,0,0,0,0,0
0,60,0,0,11,0,0,0,1,0,0,0,0
0,60,1,0,10,0,1,0,0,1,0,0,0
0,60,4,4,12,1,0,0,0,1,0,0,0
0,60,1,0,7,0,0,0,0,1,0,0,0
1,60,0,0,12,0,0,1,1,1,0,0,0
1,60,1,0,10,1,0,0,0,0,1,0,0
0,60,0,15,12,1,0,0,0,0,1,0,0
1,60,2,9,14,1,1,0,0,0,1,0,0
0,60,4,0,11,1,0,0,0,0,0,1,0
1,59,3,13,12,1,0,0,0,0,0,0,0
0,59,3,15,13,0,0,0,0,0,0,0,0
0,59,4,0,16,0,0,0,0,0,0,0,0
0,59,3,21,20,1,0,0,0,0,0,0,0
0,59,0,4,8,0,0,0,0,0,0,0,0
0,59,3,0,9,0,0,0,0,0,0,0,0
0,59,4,0,12,0,0,0,0,0,0,0,0
0,59,0,8,12,0,1,0,0,0,0,0,0
0,59,3,12,12,0,0,0,0,0,0,0,0
0,59,0,16,16,0,0,0,0,0,0,0,0
0,59,0,12,16,1,0,0,1,0,0,0,0
0,59,4,8,12,0,0,0,0,1,0,0,0
0,59,2,0,12,0,0,0,1,1,0,0,0
