UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,MALE,TRAUMA1,DIVORCED,WIDOWED,SEPARATED,NEVER_MARRIED,BLACK,OTHER_RACE
0,66.0,3,12.33,12.0,1,1,0,0,0,0,0,0
0,53.0,3,10.0,14.0,0,1,0,0,0,0,0,1
0,20.0,4,2.0,12.0,0,0,0,0,0,0,0,1
1,63.0,2,9.0,12.0,0,0,1,0,0,0,0,0
1,41.0,3,16.0,6.0,1,0,0,0,0,0,0,1
0,33.0,3,17.0,14.0,0,0,1,0,0,0,0,0
0,34.0,4,12.0,12.0,1,0,0,0,0,0,0,1
0,61.0,4,13.0,16.0,0,0,0,0,0,0,0,1
0,29.0,4,18.0,18.0,0,0,0,0,0,0,0,0
0,45.0,4,20.0,13.0,0,0,0,0,0,1,0,0
0,31.0,3,18.0,14.0,1,0,0,0,0,1,0,0
0,20.0,3,12.33,14.0,1,0,0,0,0,1,0,1
0,28.0,4,17.0,18.0,1,0,0,0,0,0,0,0
0,34.0,4,18.0,18.0,0,0,1,0,0,0,0,0
0,45.0,4,18.0,13.0,0,0,1,0,0,0,0,0
0,35.0,3,19.0,16.0,0,0,1,0,0,0,0,0
0,48.0,4,19.0,16.0,1,0,0,0,0,1,0,0
1,47.0,3,12.0,13.0,0,0,0,0,0,0,1,0
0,39.0,4,16.0,19.0,1,0,1,0,0,0,1,0
0,20.0,3,12.33,13.0,1,1,0,0,0,1,1,0
0,27.0,4,4.0,15.0,0,1,0,0,0,0,1,0
0,36.0,3,6.0,12.0,1,0,0,0,0,1,0,0
0,78.0,4,12.33,15.0,1,0,0,0,0,0,0,0
0,42.0,3,16.0,12.0,0,0,0,0,0,1,0,1
1,31.0,4,11.0,16.0,0,0,0,0,0,0,0,0
0,44.0,3,13.0,16.0,0,1,0,0,0,1,0,1
0,39.0,3,13.0,12.0,1,0,0,0,0,0,0,0
1,19.0,3,12.33,11.0,0,0,0,0,0,1,0,0
1,37.0,3,12.33,12.0,0,0,0,0,0,0,0,0
0,48.0,3,12.33,16.0,0,1,0,0,0,0,0,0
1,39.0,3,17.0,15.0,0,0,0,0,0,0,0,0
0,45.0,4,17.0,14.0,1,0,0,0,0,0,1,0
0,46.0,4,21.0,20.0,1,0,0,0,0,0,0,0
0,23.0,4,15.0,16.0,0,0,0,0,0,1,0,0
0,37.0,4,9.0,16.0,0,0,0,0,0,0,0,0
0,27.0,3,17.0,13.0,1,1,0,0,0,1,0,0
0,23.0,3,4.0,16.0,0,0,0,0,0,1,0,0
0,31.0,2,14.0,16.0,1,0,0,0,0,0,0,0
0,30.0,4,12.33,14.0,0,0,0,0,0,0,0,0
0,77.0,2,12.33,16.0,1,0,0,0,0,0,0,0
0,41.0,4,12.0,13.0,1,1,0,0,0,0,1,0
0,70.0,4,9.0,12.0,0,0,0,1,0,0,1,0
0,81.0,3,12.33,8.0,1,1,0,1,0,0,1,0
1,41.0,3,10.0,12.0,1,1,0,0,0,0,1,0
0,41.0,2,12.33,12.0,0,0,1,0,0,0,1,0
1,69.0,3,12.33,12.0,0,1,0,1,0,0,1,0
1,41.0,3,12.33,12.0,0,0,0,0,0,1,1,0
0,32.0,2,12.33,9.0,0,1,0,0,0,0,0,1
0,29.0,3,12.0,14.0,0,0,0,0,0,0,1,0
1,51.0,3,12.0,13.0,0,0,0,0,0,1,1,0
0,35.0,3,16.0,16.0,1,0,0,0,0,0,0,0
0,36.0,3,18.0,14.0,1,1,0,0,0,0,0,0
0,41.0,3,17.0,12.0,1,1,0,0,0,0,0,0
0,62.0,2,12.0,18.0,0,1,0,0,0,1,0,0
0,44.0,3,21.0,12.0,1,0,0,0,0,0,0,0
0,64.0,3,12.33,12.0,0,0,0,0,0,0,0,0
0,49.0,3,18.0,15.0,1,0,0,0,0,0,0,0
0,62.0,3,15.0,12.0,0,0,0,0,0,1,0,0
0,62.0,3,10.0,18.0,0,0,0,0,0,0,0,0
0,49.0,3,12.33,13.0,0,0,0,0,0,0,0,0
1,49.0,4,12.33,15.0,0,0,1,0,0,0,0,0
0,45.0,3,21.0,18.0,1,0,0,0,0,0,0,0
0,75.0,3,12.33,16.0,1,0,0,1,0,0,0,0
0,75.0,2,12.33,16.0,1,0,0,0,0,0,0,0
0,18.0,3,12.33,11.0,1,1,0,0,0,1,0,1
0,31.0,3,17.0,16.0,1,0,0,0,0,1,0,0
0,27.0,4,4.0,11.0,0,0,0,0,0,1,0,0
