HAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,RACE,TRAUMA1,MARITAL
1,41,1,12,13,1,2,1,1
1,70,1,9,12,2,2,0,2
2,81,0,0,8,1,2,1,2
3,41,0,10,12,1,2,1,1
2,41,3,0,12,2,2,-1,3
3,69,0,0,12,2,2,1,2
3,41,2,0,12,2,2,-1,5
2,32,3,0,9,2,3,2,1
2,29,0,12,14,2,2,0,1
3,51,2,12,13,2,2,0,5
2,35,0,16,16,1,1,0,1
2,36,2,18,14,1,1,1,1
2,41,0,17,12,1,1,1,1
2,62,3,12,18,2,1,1,5
2,44,0,21,12,1,1,0,1
2,64,2,0,12,2,1,-1,1
2,49,2,18,15,1,1,-1,1
2,62,2,15,12,2,1,0,5
1,62,0,10,18,2,1,0,1
2,49,2,22,13,2,1,-1,1
3,49,1,0,15,2,1,-1,3
1,45,0,21,18,1,1,0,1
2,75,2,0,16,1,1,-1,2
1,75,3,0,16,1,1,0,1
2,18,2,0,11,1,3,1,5
2,31,2,17,16,1,1,-1,5
1,27,1,4,11,2,1,-1,5
1,45,2,20,15,1,1,-1,1
2,27,2,15,16,1,1,-1,1
2,31,2,18,20,1,3,0,1
2,28,0,16,13,1,1,0,5
2,52,0,18,14,1,1,1,1
2,69,0,9,7,1,1,0,1
1,43,2,18,12,1,1,1,1
3,28,2,15,16,1,1,0,1
2,52,4,1,14,2,1,-1,1
2,41,2,0,14,2,1,0,1
1,37,0,17,17,2,1,0,1
1,36,0,22,12,2,1,0,1
2,24,2,10,12,2,1,-1,1
2,51,1,21,19,1,1,0,1
1,57,1,21,17,1,1,-1,1
2,72,0,21,16,1,1,0,1
2,45,0,8,18,2,1,0,1
1,32,1,20,18,1,1,0,1
2,64,0,15,15,2,1,1,1
2,63,4,0,9,2,2,-1,2
1,50,0,16,15,1,2,0,5
1,71,4,0,7,2,2,-1,2
2,59,0,9,16,1,3,1,2
3,30,2,0,16,1,1,1,5
2,37,0,2,12,2,1,1,1
3,54,2,1,8,2,1,-1,1
1,43,2,14,6,1,1,0,1
1,99,1,22,18,1,2,9,9
1,62,0,0,12,2,2,0,1
1,60,1,17,14,2,2,-1,1
2,60,2,21,13,1,2,0,1
1,46,1,22,16,2,2,-1,1
3,28,3,9,13,2,1,0,1
2,30,0,0,12,2,1,1,3
1,27,1,15,15,1,1,-1,1
2,45,2,16,12,2,1,-1,3
2,51,2,20,16,1,1,-1,1
1,38,1,19,16,1,1,0,1
2,44,1,17,20,1,3,-1,1
2,40,1,19,18,1,1,0,1
1,50,0,15,13,2,1,0,1
1,51,1,16,12,1,1,-1,1
2,40,0,22,14,2,1,0,1
1,34,0,9,14,2,1,0,1
2,54,2,8,12,2,1,-1,2
1,59,2,21,20,1,1,-1,1
1,36,1,19,12,1,1,-1,5
2,35,3,17,14,1,1,-1,1
2,30,0,14,14,2,1,0,1
1,34,2,13,16,2,1,-1,1
2,32,0,0,12,1,1,0,1
1,73,1,0,12,2,1,0,2
2,66,0,0,16,1,1,0,1
2,33,0,18,16,2,1,0,5
1,38,0,22,17,2,1,1,1
1,49,2,22,20,2,1,-1,1
2,56,1,19,18,1,1,0,5
2,55,2,21,20,1,1,1,1
2,61,0,18,20,2,1,0,1
2,34,1,8,16,1,1,0,5
2,43,1,11,17,2,1,1,5
2,37,0,21,16,2,1,0,1
2,48,2,21,16,1,2,0,1
1,43,1,3,16,2,1,2,4
1,65,1,0,15,1,1,0,1
2,35,2,17,12,1,1,2,4
1,82,1,0,15,2,1,1,2
2,62,3,98,12,2,1,0,1
1,59,1,8,12,2,1,-1,2
2,38,1,20,12,1,1,-1,3
3,43,2,15,15,2,1,-1,1
2,31,2,14,12,1,1,-1,1
1,30,1,0,14,2,1,-1,1
3,40,2,16,16,1,1,-1,5
2,27,2,16,17,1,1,0,5
1,52,1,15,16,1,1,-1,3
2,32,2,17,12,2,1,0,1
1,70,2,0,15,1,1,-1,1
1,55,0,14,13,2,1,0,1
1,53,1,9,16,2,1,0,1
2,35,1,0,12,2,1,-1,3
1,99,0,0,20,2,1,0,2
1,30,0,3,12,2,1,1,1
3,79,3,0,8,2,1,2,2
3,72,4,8,8,2,1,-1,2
2,81,3,0,6,2,1,1,2
2,76,2,22,14,2,1,-1,2
1,30,1,18,16,1,1,0,1
1,45,2,0,12,2,1,-1,1
2,34,1,17,12,1,1,-1,3
1,71,0,0,12,1,1,0,1
2,43,2,13,16,2,1,-1,1
3,37,0,9,19,1,1,0,1
2,35,0,2,13,2,1,0,1
3,80,3,0,12,2,1,-1,2
2,75,3,8,12,2,1,-1,1
2,67,0,0,14,1,1,2,1
2,42,0,11,12,2,3,0,1
2,76,0,0,12,2,1,0,2
1,67,0,0,16,2,1,0,1
2,55,3,18,12,2,1,-1,5
2,66,0,20,20,1,2,2,2
1,69,0,22,16,1,1,1,1
1,57,1,18,14,2,2,-1,3
1,57,1,10,18,2,1,0,1
2,85,2,0,11,2,1,2,2
1,74,0,0,14,2,1,9,3
2,36,2,17,17,1,2,0,5
2,32,2,18,18,2,1,-1,1
2,46,0,21,18,1,1,0,1
1,30,2,12,14,2,1,-1,1
2,59,2,15,13,2,1,-1,1
1,39,1,21,17,1,1,0,1
1,49,1,16,14,2,1,1,3
1,51,0,11,13,2,1,0,3
2,73,0,0,10,2,1,2,2
2,47,4,0,6,1,1,-1,1
2,53,2,17,18,1,1,1,1
1,41,2,4,13,2,1,-1,1
2,38,0,11,11,1,1,2,3
1,54,1,0,12,2,1,1,1
1,58,0,18,17,1,1,1,1
2,52,0,18,13,1,1,1,1
2,33,0,0,15,2,2,2,1
1,71,1,5,6,2,2,-1,2
2,59,0,8,12,2,2,0,1
1,33,1,15,14,2,1,0,1
2,50,4,19,12,1,1,-1,1
2,51,2,18,14,2,1,0,1
1,60,1,15,12,2,1,-1,1
2,69,3,0,12,2,1,-1,1
3,41,0,20,17,2,3,1,1
1,49,1,18,16,1,1,0,1
2,57,2,15,12,1,1,-1,5
2,77,4,0,10,2,3,0,2
1,50,0,22,12,2,1,0,1
1,41,2,0,12,2,3,0,1
2,50,0,22,16,2,1,2,2
1,53,0,22,13,2,1,0,1
2,34,1,22,16,1,1,-1,1
2,47,1,15,12,2,1,-1,1
2,45,2,14,14,2,1,-1,1
1,35,1,14,19,1,1,0,1
2,72,1,0,8,1,1,1,1
2,37,2,16,14,1,1,-1,1
3,41,0,17,17,2,1,3,4
2,27,3,16,14,2,1,-1,5
1,27,2,15,16,2,1,0,5
1,50,0,19,14,1,1,1,1
2,28,1,16,16,1,1,0,1
2,31,2,13,16,1,1,0,1
3,51,2,15,12,1,1,1,5
3,25,0,0,9,2,2,1,5
3,41,3,10,11,1,3,-1,1
1,26,0,11,15,1,3,1,5
2,20,0,0,12,2,2,1,5
2,21,3,0,12,2,3,2,5
2,43,1,21,16,1,1,-1,1
1,44,1,20,16,1,1,0,1
2,43,0,22,15,2,1,0,1
1,39,1,18,15,1,1,0,1
2,54,2,17,16,2,1,0,1
2,47,2,18,14,2,1,0,3
1,77,3,0,15,2,1,-1,1
2,47,1,22,18,2,1,-1,1
1,27,2,0,9,2,2,-1,5
2,39,2,12,10,1,2,1,1
2,54,4,0,12,2,1,-1,3
2,44,1,0,12,2,1,-1,3
2,27,0,2,14,2,1,1,5
2,37,2,14,12,2,3,0,3
2,22,0,6,15,2,2,1,5
1,52,0,13,9,2,1,0,4
1,76,1,0,10,2,1,-1,1
1,54,2,13,12,2,1,-1,3
2,65,2,3,13,1,1,-1,1
1,71,2,0,14,2,1,-1,1
3,49,4,6,8,2,1,-1,1
2,24,3,15,12,2,2,0,1
2,43,3,15,13,1,1,0,1
2,41,2,17,15,1,2,-1,1
2,41,1,13,12,2,2,0,3
3,46,2,9,12,2,2,2,1
2,65,0,0,12,2,1,0,1
1,33,1,15,16,1,1,-1,5
2,33,2,10,14,2,1,0,4
2,45,0,9,12,2,1,0,1
2,25,0,0,18,2,3,0,5
1,24,2,10,16,1,1,1,5
2,45,3,15,12,1,1,0,1
2,65,0,0,12,2,1,0,1
2,44,0,0,12,1,1,1,5
2,30,2,10,12,2,1,-1,1
2,72,0,0,8,1,1,0,1
2,46,1,18,12,2,1,-1,3
2,64,0,13,13,2,1,0,1
1,75,0,0,12,1,1,0,3
3,71,0,0,16,1,1,0,5
2,41,0,17,20,2,1,0,1
2,69,3,0,12,2,1,0,1
2,37,2,20,18,1,1,-1,1
1,36,1,9,14,2,1,-1,1
1,39,1,18,16,2,1,-1,1
2,52,0,0,17,1,1,0,1
2,44,2,16,14,1,1,-1,1
2,21,2,0,13,1,1,1,5
2,42,0,0,12,2,1,0,1
2,35,2,20,19,2,1,0,1
2,26,2,15,13,1,1,-1,1
2,48,1,11,12,2,1,-1,1
3,68,3,0,13,2,1,1,2
2,26,0,11,12,1,1,0,1
1,25,2,10,15,1,1,0,1
2,36,2,18,12,1,1,1,3
3,55,4,0,12,2,1,-1,3
2,41,2,22,14,1,1,-1,1
3,43,0,16,12,1,1,0,3
2,66,1,12,12,2,1,-1,2
1,42,1,16,17,2,1,0,1
2,29,1,12,16,2,1,0,1
2,41,1,15,16,2,1,0,3
1,19,1,2,11,2,1,0,5
3,47,0,20,18,1,1,0,1
1,49,0,17,13,1,1,0,3
